id,created_at,favorite_count,retweet_count,text,entities,screen_name
1.49744E+18,2022-02-26 05:08:29+00:00,0,0,rt @to_winterops: clean up operations are ongoing.  sidewalks and bus stops clearing are ongoing.  #cityoftowinteralert  @311toronto,"{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [99, 119]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [121, 132]}], 'symbols': []}",TO_Transport
1.49725E+18,2022-02-25 16:50:36+00:00,0,0,rt @to_winterops: winter operations are ongoing and expressways are being plowed.  #cityoftowinteralert @311toronto,"{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [83, 103]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [104, 115]}], 'symbols': []}",Ainslie_Ward24
1.49725E+18,2022-02-25 16:34:24+00:00,2,0,"it's 1130am snow has just about stopped here vic park/401 area. after none overnight, big dumping this morning leav… https://t.co/5eufzjibaj","{'hashtags': [], 'urls': [{'url': 'https://t.co/5eUfzjIbaj', 'expanded_url': 'https://twitter.com/i/web/status/1497248624408944641', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",mummmbles
1.49725E+18,2022-02-25 16:22:59+00:00,0,0,rt @to_winterops: winter operations are ongoing and expressways are being plowed.  #cityoftowinteralert @311toronto,"{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [83, 103]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [104, 115]}], 'symbols': []}",TO_Transport
1.49723E+18,2022-02-25 15:34:58+00:00,0,0,"rt @midweekcycling: @mattpinder1 @darrenkropf sidenote: while contraflows like shaw st have helped improve network in toronto, they have no…","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'midweekcycling', 'name': 'MWCC', 'id': 282729838, 'id_str': '282729838', 'indices': [3, 18]}, {'screen_name': 'MattPinder1', 'name': 'Beyond the Automobile', 'id': 552237170, 'id_str': '552237170', 'indices': [20, 32]}, {'screen_name': 'DarrenKropf', 'name': 'Darren Kropf', 'id': 318145993, 'id_str': '318145993', 'indices': [33, 45]}], 'symbols': []}",wardFORpeople
1.49723E+18,2022-02-25 15:34:13+00:00,0,0,"rt @midweekcycling: @mattpinder1 @darrenkropf sidenote: while contraflows like shaw st have helped improve network in toronto, they have no…","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'midweekcycling', 'name': 'MWCC', 'id': 282729838, 'id_str': '282729838', 'indices': [3, 18]}, {'screen_name': 'MattPinder1', 'name': 'Beyond the Automobile', 'id': 552237170, 'id_str': '552237170', 'indices': [20, 32]}, {'screen_name': 'DarrenKropf', 'name': 'Darren Kropf', 'id': 318145993, 'id_str': '318145993', 'indices': [33, 45]}], 'symbols': []}",thereadingline
1.49722E+18,2022-02-25 14:32:02+00:00,3,2,"@mattpinder1 @darrenkropf sidenote: while contraflows like shaw st have helped improve network in toronto, they hav… https://t.co/ujncl2r7qk","{'hashtags': [], 'urls': [{'url': 'https://t.co/ujnCL2R7QK', 'expanded_url': 'https://twitter.com/i/web/status/1497217829577412608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'MattPinder1', 'name': 'Beyond the Automobile', 'id': 552237170, 'id_str': '552237170', 'indices': [0, 12]}, {'screen_name': 'DarrenKropf', 'name': 'Darren Kropf', 'id': 318145993, 'id_str': '318145993', 'indices': [13, 25]}], 'symbols': []}",midweekcycling
1.49722E+18,2022-02-25 14:26:56+00:00,0,0,"rt @to_winterops: all roads, sidewalks, and bike lanes are being salted.  #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [74, 94]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [95, 106]}], 'symbols': []}",BVAssociation
1.49721E+18,2022-02-25 14:06:16+00:00,2,0,@to_winterops @to_transport @311toronto is there any way we can use salt alternatives? the don river is completely… https://t.co/e1nxliry14,"{'hashtags': [], 'urls': [{'url': 'https://t.co/E1nXlIry14', 'expanded_url': 'https://twitter.com/i/web/status/1497211344914890764', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': 'TO_Transport', 'name': 'TO Transportation', 'id': 238984493, 'id_str': '238984493', 'indices': [14, 27]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [28, 39]}], 'symbols': []}",vanishdoom84
1.49721E+18,2022-02-25 14:04:12+00:00,0,0,"rt @to_winterops: all roads, sidewalks, and bike lanes are being salted.  #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [74, 94]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [95, 106]}], 'symbols': []}",TO_Transport
