id,created_at,favorite_count,retweet_count,text,entities,screen_name,datetime_utc,datetime_est,text_no_punc,polarity,datetime_rounded,final_polarity
1.49053e+18,2022-02-07 03:24:22+00:00,0,0,"@311toronto @to_winterops @torontosmayor the number of potholes that exist on this route is insane, please look int… https://t.co/8incuw0xhf","{'hashtags': [], 'urls': [{'url': 'https://t.co/8incUw0XHF', 'expanded_url': 'https://twitter.com/i/web/status/1490526826929790976', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [12, 25]}, {'screen_name': 'TorontosMayor', 'name': 'John Tory', 'id': 989877383502155777, 'id_str': '989877383502155777', 'indices': [26, 40]}], 'symbols': []}",danielchan1995,2022-02-07 03:24:22+00:00,2022-02-06 22:24:22-05:00, 311toronto  to winterops  torontosmayor the number of potholes that exist on this route is insane  please look int… https   t co 8incuw0xhf,-0.09999999999999987,2022-02-06 22:00:00-05:00,Negative
1.49037e+18,2022-02-06 16:47:24+00:00,0,0,rt @chinawindow2: china window congratulate chinese  #teamchina for winning its first gold medal at the #beijing2022  winter olympic games.…,"{'hashtags': [{'text': 'TeamChina', 'indices': [53, 63]}, {'text': 'Beijing2022', 'indices': [104, 116]}], 'urls': [], 'user_mentions': [{'screen_name': 'CHINAWINDOW2', 'name': 'CHINA WINDOW', 'id': 1093037651769376768, 'id_str': '1093037651769376768', 'indices': [3, 16]}], 'symbols': []}",AmjadAzizMalik1,2022-02-06 16:47:24+00:00,2022-02-06 11:47:24-05:00,rt  chinawindow2  china window congratulate chinese   teamchina for winning its first gold medal at the  beijing2022  winter olympic games …,6.699999999999999,2022-02-06 12:00:00-05:00,Postive
1.49033e+18,2022-02-06 14:32:23+00:00,0,0,@to_winterops @311toronto can you first plow drayton and roseheath ave south of danforth it never got plowed after the first storm,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [14, 25]}], 'symbols': []}",muckypawdotca,2022-02-06 14:32:23+00:00,2022-02-06 09:32:23-05:00, to winterops  311toronto can you first plow drayton and roseheath ave south of danforth it never got plowed after the first storm,0.0,2022-02-06 10:00:00-05:00,Neutral
1.49022e+18,2022-02-06 07:02:58+00:00,0,0,rt @chinawindow2: china window congratulate chinese  #teamchina for winning its first gold medal at the #beijing2022  winter olympic games.…,"{'hashtags': [{'text': 'TeamChina', 'indices': [53, 63]}, {'text': 'Beijing2022', 'indices': [104, 116]}], 'urls': [], 'user_mentions': [{'screen_name': 'CHINAWINDOW2', 'name': 'CHINA WINDOW', 'id': 1093037651769376768, 'id_str': '1093037651769376768', 'indices': [3, 16]}], 'symbols': []}",CHINAWINDOW2,2022-02-06 07:02:58+00:00,2022-02-06 02:02:58-05:00,rt  chinawindow2  china window congratulate chinese   teamchina for winning its first gold medal at the  beijing2022  winter olympic games …,6.699999999999999,2022-02-06 02:00:00-05:00,Postive
1.49001e+18,2022-02-05 17:25:15+00:00,0,0,@to_winterops https://t.co/r07ddz3ctr,"{'hashtags': [], 'urls': [{'url': 'https://t.co/r07DDZ3cTR', 'expanded_url': 'https://youtu.be/eGh9Xg35ZPg', 'display_url': 'youtu.be/eGh9Xg35ZPg', 'indices': [14, 37]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}], 'symbols': []}",CarolSh18487539,2022-02-05 17:25:15+00:00,2022-02-05 12:25:15-05:00, to winterops https   t co r07ddz3ctr,0.0,2022-02-05 12:00:00-05:00,Neutral
1.49e+18,2022-02-05 16:36:11+00:00,0,0,"@johntory @bradmbradford @311toronto @to_winterops the sidewalk plows have been by many times, will our street ever… https://t.co/x4hooczcnp","{'hashtags': [], 'urls': [{'url': 'https://t.co/x4hoocZcnp', 'expanded_url': 'https://twitter.com/i/web/status/1490001314981584898', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'JohnTory', 'name': 'John Tory', 'id': 89760824, 'id_str': '89760824', 'indices': [0, 9]}, {'screen_name': 'BradMBradford', 'name': 'Brad Bradford✌️', 'id': 207603568, 'id_str': '207603568', 'indices': [10, 24]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [25, 36]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [37, 50]}], 'symbols': []}",lilidrew,2022-02-05 16:36:11+00:00,2022-02-05 11:36:11-05:00, johntory  bradmbradford  311toronto  to winterops the sidewalk plows have been by many times  will our street ever… https   t co x4hooczcnp,0.0,2022-02-05 12:00:00-05:00,Neutral
1.48998e+18,2022-02-05 15:16:22+00:00,0,0,"rt @311toronto: drivers and cyclists making essential travel are asked to stay a safe distance from snow clearing trucks and crews before,…","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [3, 14]}], 'symbols': []}",AgricultureEagl,2022-02-05 15:16:22+00:00,2022-02-05 10:16:22-05:00,rt  311toronto  drivers and cyclists making essential travel are asked to stay a safe distance from snow clearing trucks and crews before …,1.9,2022-02-05 10:00:00-05:00,Postive
1.48979e+18,2022-02-05 02:36:30+00:00,1,0,guests beginning to arrive for china’s winter olympics…and experiencing minor issues….@olympics @to_winterops… https://t.co/oik36ci91t,"{'hashtags': [], 'urls': [{'url': 'https://t.co/oIK36ci91t', 'expanded_url': 'https://twitter.com/i/web/status/1489790003609628674', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}], 'user_mentions': [{'screen_name': 'Olympics', 'name': 'The Olympic Games', 'id': 52422878, 'id_str': '52422878', 'indices': [86, 95]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [96, 109]}], 'symbols': []}",Ranklediff,2022-02-05 02:36:30+00:00,2022-02-04 21:36:30-05:00,guests beginning to arrive for china’s winter olympics…and experiencing minor issues…  olympics  to winterops… https   t co oik36ci91t,0.0,2022-02-04 22:00:00-05:00,Neutral
1.4896e+18,2022-02-04 14:08:40+00:00,0,0,@311toronto @to_winterops @johntory hey my street isn’t plowed and i’m stuck in the snow. caa won’t help me because… https://t.co/albeu1xb2o,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ALbeu1xB2o', 'expanded_url': 'https://twitter.com/i/web/status/1489601806036525056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [12, 25]}, {'screen_name': 'JohnTory', 'name': 'John Tory', 'id': 89760824, 'id_str': '89760824', 'indices': [26, 35]}], 'symbols': []}",frustratdnoplow,2022-02-04 14:08:40+00:00,2022-02-04 09:08:40-05:00, 311toronto  to winterops  johntory hey my street isn’t plowed and i’m stuck in the snow  caa won’t help me because… https   t co albeu1xb2o,0.7,2022-02-04 09:00:00-05:00,Postive
1.48959e+18,2022-02-04 13:41:21+00:00,2,0,why are my best winter bike routes after a snowfall   ones that do not involve bike lanes? the bloor bike lanes are… https://t.co/2q3tx1n6kp,"{'hashtags': [], 'urls': [{'url': 'https://t.co/2Q3Tx1N6kP', 'expanded_url': 'https://twitter.com/i/web/status/1489594928833441797', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",MelBoultbee,2022-02-04 13:41:21+00:00,2022-02-04 08:41:21-05:00,why are my best winter bike routes after a snowfall   ones that do not involve bike lanes  the bloor bike lanes are… https   t co 2q3tx1n6kp,3.2,2022-02-04 09:00:00-05:00,Postive
